MODELED RE-ENTRY TELEMETRY - Orion Lunar-Return Skip Entry (Second-by-Second)
Entry Interface (EI) -> Splashdown
================================================================================

    MET  Vel(mph)    Alt(ft)  Alt(mi)      g  Phase
   1:45    20,157    226,429     42.9   5.99  Atmospheric drag building
   1:46    20,026    225,143     42.6   5.99  Atmospheric drag building
   1:47    19,894    223,857     42.4   5.99  Atmospheric drag building
   1:48    19,763    222,571     42.2   5.99  Atmospheric drag building
   1:49    19,631    221,286     41.9   5.99  Atmospheric drag building
   1:50    19,500    220,000     41.7   5.99  First peak heating / peak-g (first entry)
   1:51    19,375    219,625     41.6    5.7  First peak heating / peak-g (first entry)
   1:52    19,250    219,250     41.5    5.7  First peak heating / peak-g (first entry)
   1:53    19,125    218,875     41.5    5.7  First peak heating / peak-g (first entry)
   1:54    19,000    218,500     41.4    5.7  First peak heating / peak-g (first entry)
   1:55    18,875    218,125     41.3    5.7  First peak heating / peak-g (first entry)
   1:56    18,750    217,750     41.2    5.7  First peak heating / peak-g (first entry)
   1:57    18,625    217,375     41.2    5.7  First peak heating / peak-g (first entry)
   1:58    18,500    217,000     41.1    5.7  First peak heating / peak-g (first entry)
   1:59    18,375    216,625     41.0    5.7  First peak heating / peak-g (first entry)
   2:00    18,250    216,250     41.0    5.7  First peak heating / peak-g (first entry)
   2:01    18,125    215,875     40.9    5.7  First peak heating / peak-g (first entry)
   2:02    18,000    215,500     40.8    5.7  First peak heating / peak-g (first entry)
   2:03    17,875    215,125     40.7    5.7  First peak heating / peak-g (first entry)
   2:04    17,750    214,750     40.7    5.7  First peak heating / peak-g (first entry)
   2:05    17,625    214,375     40.6    5.7  First peak heating / peak-g (first entry)
   2:06    17,500    214,000     40.5    5.7  First peak heating / peak-g (first entry)
   2:07    17,375    213,625     40.5    5.7  First peak heating / peak-g (first entry)
   2:08    17,250    213,250     40.4    5.7  First peak heating / peak-g (first entry)
   2:09    17,125    212,875     40.3    5.7  First peak heating / peak-g (first entry)
   2:10    17,000    212,500     40.2    5.7  First peak heating / peak-g (first entry)
   2:11    16,875    212,125     40.2    5.7  First peak heating / peak-g (first entry)
   2:12    16,750    211,750     40.1    5.7  First peak heating / peak-g (first entry)
   2:13    16,625    211,375     40.0    5.7  First peak heating / peak-g (first entry)
   2:14    16,500    211,000     40.0    5.7  First peak heating / peak-g (first entry)
   2:15    16,375    210,625     39.9    5.7  First peak heating / peak-g (first entry)
   2:16    16,250    210,250     39.8    5.7  First peak heating / peak-g (first entry)
   2:17    16,125    209,875     39.7    5.7  First peak heating / peak-g (first entry)
   2:18    16,000    209,500     39.7    5.7  First peak heating / peak-g (first entry)
   2:19    15,875    209,125     39.6    5.7  First peak heating / peak-g (first entry)
   2:20    15,750    208,750     39.5    5.7  First peak heating / peak-g (first entry)
   2:21    15,625    208,375     39.5    5.7  First peak heating / peak-g (first entry)
   2:22    15,500    208,000     39.4    5.7  First peak heating / peak-g (first entry)
   2:23    15,375    207,625     39.3    5.7  First peak heating / peak-g (first entry)
   2:24    15,250    207,250     39.3    5.7  First peak heating / peak-g (first entry)
   2:25    15,125    206,875     39.2    5.7  First peak heating / peak-g (first entry)
   2:26    15,000    206,500     39.1    5.7  First peak heating / peak-g (first entry)
   2:27    14,875    206,125     39.0    5.7  First peak heating / peak-g (first entry)
   2:28    14,750    205,750     39.0    5.7  First peak heating / peak-g (first entry)
   2:29    14,625    205,375     38.9    5.7  First peak heating / peak-g (first entry)
   2:30    14,500    205,000     38.8    5.7  Comms blackout - plasma sheath (first entry)
   2:31    14,443    205,100     38.8    2.6  Comms blackout - plasma sheath (first entry)
   2:32    14,386    205,200     38.9    2.6  Comms blackout - plasma sheath (first entry)
   2:33    14,329    205,300     38.9    2.6  Comms blackout - plasma sheath (first entry)
   2:34    14,272    205,400     38.9    2.6  Comms blackout - plasma sheath (first entry)
   2:35    14,215    205,500     38.9    2.6  Comms blackout - plasma sheath (first entry)
   2:36    14,158    205,600     38.9    2.6  Comms blackout - plasma sheath (first entry)
   2:37    14,101    205,700     39.0    2.6  Comms blackout - plasma sheath (first entry)
   2:38    14,044    205,800     39.0    2.6  Comms blackout - plasma sheath (first entry)
   2:39    13,987    205,900     39.0    2.6  Comms blackout - plasma sheath (first entry)
   2:40    13,930    206,000     39.0    2.6  Comms blackout - plasma sheath (first entry)
   2:41    13,873    206,100     39.0    2.6  Comms blackout - plasma sheath (first entry)
   2:42    13,816    206,200     39.1    2.6  Comms blackout - plasma sheath (first entry)
   2:43    13,759    206,300     39.1    2.6  Comms blackout - plasma sheath (first entry)
   2:44    13,702    206,400     39.1    2.6  Comms blackout - plasma sheath (first entry)
   2:45    13,645    206,500     39.1    2.6  Comms blackout - plasma sheath (first entry)
   2:46    13,588    206,600     39.1    2.6  Comms blackout - plasma sheath (first entry)
   2:47    13,531    206,700     39.1    2.6  Comms blackout - plasma sheath (first entry)
   2:48    13,474    206,800     39.2    2.6  Comms blackout - plasma sheath (first entry)
   2:49    13,417    206,900     39.2    2.6  Comms blackout - plasma sheath (first entry)
   2:50    13,360    207,000     39.2    2.6  Comms blackout - plasma sheath (first entry)
   2:51    13,303    207,100     39.2    2.6  Comms blackout - plasma sheath (first entry)
   2:52    13,246    207,200     39.2    2.6  Comms blackout - plasma sheath (first entry)
   2:53    13,189    207,300     39.3    2.6  Comms blackout - plasma sheath (first entry)
   2:54    13,132    207,400     39.3    2.6  Comms blackout - plasma sheath (first entry)
   2:55    13,075    207,500     39.3    2.6  Comms blackout - plasma sheath (first entry)
   2:56    13,018    207,600     39.3    2.6  Comms blackout - plasma sheath (first entry)
   2:57    12,961    207,700     39.3    2.6  Comms blackout - plasma sheath (first entry)
   2:58    12,904    207,800     39.4    2.6  Comms blackout - plasma sheath (first entry)
   2:59    12,847    207,900     39.4    2.6  Comms blackout - plasma sheath (first entry)
   3:00    12,790    208,000     39.4    2.6  Comms blackout - plasma sheath (first entry)
   3:01    12,733    208,100     39.4    2.6  Comms blackout - plasma sheath (first entry)
   3:02    12,676    208,200     39.4    2.6  Comms blackout - plasma sheath (first entry)
   3:03    12,619    208,300     39.5    2.6  Comms blackout - plasma sheath (first entry)
   3:04    12,562    208,400     39.5    2.6  Comms blackout - plasma sheath (first entry)
   3:05    12,505    208,500     39.5    2.6  Comms blackout - plasma sheath (first entry)
   3:06    12,448    208,600     39.5    2.6  Comms blackout - plasma sheath (first entry)
   3:07    12,391    208,700     39.5    2.6  Comms blackout - plasma sheath (first entry)
   3:08    12,334    208,800     39.5    2.6  Comms blackout - plasma sheath (first entry)
   3:09    12,277    208,900     39.6    2.6  Comms blackout - plasma sheath (first entry)
   3:10    12,220    209,000     39.6    2.6  Comms blackout - plasma sheath (first entry)
   3:11    12,163    209,100     39.6    2.6  Comms blackout - plasma sheath (first entry)
   3:12    12,106    209,200     39.6    2.6  Comms blackout - plasma sheath (first entry)
   3:13    12,049    209,300     39.6    2.6  Comms blackout - plasma sheath (first entry)
   3:14    11,992    209,400     39.7    2.6  Comms blackout - plasma sheath (first entry)
   3:15    11,935    209,500     39.7    2.6  Comms blackout - plasma sheath (first entry)
   3:16    11,878    209,600     39.7    2.6  Comms blackout - plasma sheath (first entry)
   3:17    11,821    209,700     39.7    2.6  Comms blackout - plasma sheath (first entry)
   3:18    11,764    209,800     39.7    2.6  Comms blackout - plasma sheath (first entry)
   3:19    11,707    209,900     39.8    2.6  Comms blackout - plasma sheath (first entry)
   3:20    11,650    210,000     39.8    2.6  End of first entry - velocity bled off
   3:21    11,596    210,556     39.9   2.48  End of first entry - velocity bled off
   3:22    11,541    211,111     40.0   2.48  End of first entry - velocity bled off
   3:23    11,487    211,667     40.1   2.48  End of first entry - velocity bled off
   3:24    11,432    212,222     40.2   2.48  End of first entry - velocity bled off
   3:25    11,378    212,778     40.3   2.48  End of first entry - velocity bled off
   3:26    11,323    213,333     40.4   2.48  End of first entry - velocity bled off
   3:27    11,269    213,889     40.5   2.48  End of first entry - velocity bled off
   3:28    11,214    214,444     40.6   2.48  End of first entry - velocity bled off
   3:29    11,160    215,000     40.7   2.48  End of first entry - velocity bled off
   3:30    11,106    215,556     40.8   2.48  End of first entry - velocity bled off
   3:31    11,051    216,111     40.9   2.48  End of first entry - velocity bled off
   3:32    10,997    216,667     41.0   2.48  End of first entry - velocity bled off
   3:33    10,942    217,222     41.1   2.48  End of first entry - velocity bled off
   3:34    10,888    217,778     41.2   2.48  End of first entry - velocity bled off
   3:35    10,833    218,333     41.4   2.48  End of first entry - velocity bled off
   3:36    10,779    218,889     41.5   2.48  End of first entry - velocity bled off
   3:37    10,724    219,444     41.6   2.48  End of first entry - velocity bled off
   3:38    10,670    220,000     41.7   2.48  End of first entry - velocity bled off
   3:39    10,616    220,556     41.8   2.48  End of first entry - velocity bled off
   3:40    10,561    221,111     41.9   2.48  End of first entry - velocity bled off
   3:41    10,507    221,667     42.0   2.48  End of first entry - velocity bled off
   3:42    10,452    222,222     42.1   2.48  End of first entry - velocity bled off
   3:43    10,398    222,778     42.2   2.48  End of first entry - velocity bled off
   3:44    10,343    223,333     42.3   2.48  End of first entry - velocity bled off
   3:45    10,289    223,889     42.4   2.48  End of first entry - velocity bled off
   3:46    10,234    224,444     42.5   2.48  End of first entry - velocity bled off
   3:47    10,180    225,000     42.6   2.48  End of first entry - velocity bled off
   3:48    10,126    225,556     42.7   2.48  End of first entry - velocity bled off
   3:49    10,071    226,111     42.8   2.48  End of first entry - velocity bled off
   3:50    10,017    226,667     42.9   2.48  End of first entry - velocity bled off
   3:51     9,962    227,222     43.0   2.48  End of first entry - velocity bled off
   3:52     9,908    227,778     43.1   2.48  End of first entry - velocity bled off
   3:53     9,853    228,333     43.2   2.48  End of first entry - velocity bled off
   3:54     9,799    228,889     43.4   2.48  End of first entry - velocity bled off
   3:55     9,744    229,444     43.5   2.48  End of first entry - velocity bled off
   3:56     9,690    230,000     43.6   2.48  End of first entry - velocity bled off
   3:57     9,636    230,556     43.7   2.48  End of first entry - velocity bled off
   3:58     9,581    231,111     43.8   2.48  End of first entry - velocity bled off
   3:59     9,527    231,667     43.9   2.48  End of first entry - velocity bled off
   4:00     9,472    232,222     44.0   2.48  End of first entry - velocity bled off
   4:01     9,418    232,778     44.1   2.48  End of first entry - velocity bled off
   4:02     9,363    233,333     44.2   2.48  End of first entry - velocity bled off
   4:03     9,309    233,889     44.3   2.48  End of first entry - velocity bled off
   4:04     9,254    234,444     44.4   2.48  End of first entry - velocity bled off
   4:05     9,200    235,000     44.5   2.48  SKIP / loft - vehicle climbs, drag drops
   4:06     9,184    235,364     44.6   0.75  SKIP / loft - vehicle climbs, drag drops
   4:07     9,167    235,727     44.6   0.75  SKIP / loft - vehicle climbs, drag drops
   4:08     9,151    236,091     44.7   0.75  SKIP / loft - vehicle climbs, drag drops
   4:09     9,135    236,455     44.8   0.75  SKIP / loft - vehicle climbs, drag drops
   4:10     9,118    236,818     44.9   0.75  SKIP / loft - vehicle climbs, drag drops
   4:11     9,102    237,182     44.9   0.75  SKIP / loft - vehicle climbs, drag drops
   4:12     9,085    237,545     45.0   0.75  SKIP / loft - vehicle climbs, drag drops
   4:13     9,069    237,909     45.1   0.75  SKIP / loft - vehicle climbs, drag drops
   4:14     9,053    238,273     45.1   0.75  SKIP / loft - vehicle climbs, drag drops
   4:15     9,036    238,636     45.2   0.75  SKIP / loft - vehicle climbs, drag drops
   4:16     9,020    239,000     45.3   0.75  SKIP / loft - vehicle climbs, drag drops
   4:17     9,004    239,364     45.3   0.75  SKIP / loft - vehicle climbs, drag drops
   4:18     8,987    239,727     45.4   0.75  SKIP / loft - vehicle climbs, drag drops
   4:19     8,971    240,091     45.5   0.75  SKIP / loft - vehicle climbs, drag drops
   4:20     8,955    240,455     45.5   0.75  SKIP / loft - vehicle climbs, drag drops
   4:21     8,938    240,818     45.6   0.75  SKIP / loft - vehicle climbs, drag drops
   4:22     8,922    241,182     45.7   0.75  SKIP / loft - vehicle climbs, drag drops
   4:23     8,905    241,545     45.7   0.75  SKIP / loft - vehicle climbs, drag drops
   4:24     8,889    241,909     45.8   0.75  SKIP / loft - vehicle climbs, drag drops
   4:25     8,873    242,273     45.9   0.75  SKIP / loft - vehicle climbs, drag drops
   4:26     8,856    242,636     46.0   0.75  SKIP / loft - vehicle climbs, drag drops
   4:27     8,840    243,000     46.0   0.75  SKIP / loft - vehicle climbs, drag drops
   4:28     8,824    243,364     46.1   0.75  SKIP / loft - vehicle climbs, drag drops
   4:29     8,807    243,727     46.2   0.75  SKIP / loft - vehicle climbs, drag drops
   4:30     8,791    244,091     46.2   0.75  SKIP / loft - vehicle climbs, drag drops
   4:31     8,775    244,455     46.3   0.75  SKIP / loft - vehicle climbs, drag drops
   4:32     8,758    244,818     46.4   0.75  SKIP / loft - vehicle climbs, drag drops
   4:33     8,742    245,182     46.4   0.75  SKIP / loft - vehicle climbs, drag drops
   4:34     8,725    245,545     46.5   0.75  SKIP / loft - vehicle climbs, drag drops
   4:35     8,709    245,909     46.6   0.75  SKIP / loft - vehicle climbs, drag drops
   4:36     8,693    246,273     46.6   0.75  SKIP / loft - vehicle climbs, drag drops
   4:37     8,676    246,636     46.7   0.75  SKIP / loft - vehicle climbs, drag drops
   4:38     8,660    247,000     46.8   0.75  SKIP / loft - vehicle climbs, drag drops
   4:39     8,644    247,364     46.8   0.75  SKIP / loft - vehicle climbs, drag drops
   4:40     8,627    247,727     46.9   0.75  SKIP / loft - vehicle climbs, drag drops
   4:41     8,611    248,091     47.0   0.75  SKIP / loft - vehicle climbs, drag drops
   4:42     8,595    248,455     47.1   0.75  SKIP / loft - vehicle climbs, drag drops
   4:43     8,578    248,818     47.1   0.75  SKIP / loft - vehicle climbs, drag drops
   4:44     8,562    249,182     47.2   0.75  SKIP / loft - vehicle climbs, drag drops
   4:45     8,545    249,545     47.3   0.75  SKIP / loft - vehicle climbs, drag drops
   4:46     8,529    249,909     47.3   0.75  SKIP / loft - vehicle climbs, drag drops
   4:47     8,513    250,273     47.4   0.75  SKIP / loft - vehicle climbs, drag drops
   4:48     8,496    250,636     47.5   0.75  SKIP / loft - vehicle climbs, drag drops
   4:49     8,480    251,000     47.5   0.75  SKIP / loft - vehicle climbs, drag drops
   4:50     8,464    251,364     47.6   0.75  SKIP / loft - vehicle climbs, drag drops
   4:51     8,447    251,727     47.7   0.75  SKIP / loft - vehicle climbs, drag drops
   4:52     8,431    252,091     47.7   0.75  SKIP / loft - vehicle climbs, drag drops
   4:53     8,415    252,455     47.8   0.75  SKIP / loft - vehicle climbs, drag drops
   4:54     8,398    252,818     47.9   0.75  SKIP / loft - vehicle climbs, drag drops
   4:55     8,382    253,182     48.0   0.75  SKIP / loft - vehicle climbs, drag drops
   4:56     8,365    253,545     48.0   0.75  SKIP / loft - vehicle climbs, drag drops
   4:57     8,349    253,909     48.1   0.75  SKIP / loft - vehicle climbs, drag drops
   4:58     8,333    254,273     48.2   0.75  SKIP / loft - vehicle climbs, drag drops
   4:59     8,316    254,636     48.2   0.75  SKIP / loft - vehicle climbs, drag drops
   5:00     8,300    255,000     48.3   0.75  Skip apogee (loft peak) - thin air, low drag
   5:01     8,297    254,750     48.2   0.15  Skip apogee (loft peak) - thin air, low drag
   5:02     8,293    254,500     48.2   0.15  Skip apogee (loft peak) - thin air, low drag
   5:03     8,290    254,250     48.2   0.15  Skip apogee (loft peak) - thin air, low drag
   5:04     8,287    254,000     48.1   0.15  Skip apogee (loft peak) - thin air, low drag
   5:05     8,283    253,750     48.1   0.15  Skip apogee (loft peak) - thin air, low drag
   5:06     8,280    253,500     48.0   0.15  Skip apogee (loft peak) - thin air, low drag
   5:07     8,277    253,250     48.0   0.15  Skip apogee (loft peak) - thin air, low drag
   5:08     8,273    253,000     47.9   0.15  Skip apogee (loft peak) - thin air, low drag
   5:09     8,270    252,750     47.9   0.15  Skip apogee (loft peak) - thin air, low drag
   5:10     8,267    252,500     47.8   0.15  Skip apogee (loft peak) - thin air, low drag
   5:11     8,263    252,250     47.8   0.15  Skip apogee (loft peak) - thin air, low drag
   5:12     8,260    252,000     47.7   0.15  Skip apogee (loft peak) - thin air, low drag
   5:13     8,257    251,750     47.7   0.15  Skip apogee (loft peak) - thin air, low drag
   5:14     8,253    251,500     47.6   0.15  Skip apogee (loft peak) - thin air, low drag
   5:15     8,250    251,250     47.6   0.15  Skip apogee (loft peak) - thin air, low drag
   5:16     8,247    251,000     47.5   0.15  Skip apogee (loft peak) - thin air, low drag
   5:17     8,243    250,750     47.5   0.15  Skip apogee (loft peak) - thin air, low drag
   5:18     8,240    250,500     47.4   0.15  Skip apogee (loft peak) - thin air, low drag
   5:19     8,237    250,250     47.4   0.15  Skip apogee (loft peak) - thin air, low drag
   5:20     8,233    250,000     47.3   0.15  Skip apogee (loft peak) - thin air, low drag
   5:21     8,230    249,750     47.3   0.15  Skip apogee (loft peak) - thin air, low drag
   5:22     8,227    249,500     47.3   0.15  Skip apogee (loft peak) - thin air, low drag
   5:23     8,223    249,250     47.2   0.15  Skip apogee (loft peak) - thin air, low drag
   5:24     8,220    249,000     47.2   0.15  Skip apogee (loft peak) - thin air, low drag
   5:25     8,217    248,750     47.1   0.15  Skip apogee (loft peak) - thin air, low drag
   5:26     8,213    248,500     47.1   0.15  Skip apogee (loft peak) - thin air, low drag
   5:27     8,210    248,250     47.0   0.15  Skip apogee (loft peak) - thin air, low drag
   5:28     8,207    248,000     47.0   0.15  Skip apogee (loft peak) - thin air, low drag
   5:29     8,203    247,750     46.9   0.15  Skip apogee (loft peak) - thin air, low drag
   5:30     8,200    247,500     46.9   0.15  Skip apogee (loft peak) - thin air, low drag
   5:31     8,197    247,250     46.8   0.15  Skip apogee (loft peak) - thin air, low drag
   5:32     8,193    247,000     46.8   0.15  Skip apogee (loft peak) - thin air, low drag
   5:33     8,190    246,750     46.7   0.15  Skip apogee (loft peak) - thin air, low drag
   5:34     8,187    246,500     46.7   0.15  Skip apogee (loft peak) - thin air, low drag
   5:35     8,183    246,250     46.6   0.15  Skip apogee (loft peak) - thin air, low drag
   5:36     8,180    246,000     46.6   0.15  Skip apogee (loft peak) - thin air, low drag
   5:37     8,177    245,750     46.5   0.15  Skip apogee (loft peak) - thin air, low drag
   5:38     8,173    245,500     46.5   0.15  Skip apogee (loft peak) - thin air, low drag
   5:39     8,170    245,250     46.4   0.15  Skip apogee (loft peak) - thin air, low drag
   5:40     8,167    245,000     46.4   0.15  Skip apogee (loft peak) - thin air, low drag
   5:41     8,163    244,750     46.4   0.15  Skip apogee (loft peak) - thin air, low drag
   5:42     8,160    244,500     46.3   0.15  Skip apogee (loft peak) - thin air, low drag
   5:43     8,157    244,250     46.3   0.15  Skip apogee (loft peak) - thin air, low drag
   5:44     8,153    244,000     46.2   0.15  Skip apogee (loft peak) - thin air, low drag
   5:45     8,150    243,750     46.2   0.15  Skip apogee (loft peak) - thin air, low drag
   5:46     8,147    243,500     46.1   0.15  Skip apogee (loft peak) - thin air, low drag
   5:47     8,143    243,250     46.1   0.15  Skip apogee (loft peak) - thin air, low drag
   5:48     8,140    243,000     46.0   0.15  Skip apogee (loft peak) - thin air, low drag
   5:49     8,137    242,750     46.0   0.15  Skip apogee (loft peak) - thin air, low drag
